User ID,First Name,Last Name,Email,Role,Active,Permissions
clzjp00ma0000tfha6fmdg2ha,user10,user10,test10@gmail.com,USER,true,
clzjp00o5000dtfhabrdgmxsv,user11,user11,test11@gmail.com,USER,true,
clzjp00ns0005tfhasvbpvwqx,user12,user12,test12@gmail.com,USER,true,
clzjp00nz0009tfhardpeionc,user13,user13,test13@gmail.com,USER,true,
clzjp00nw0006tfhasolozjtq,user14,user14,test14@gmail.com,USER,true,
clzjp00nh0004tfhaj4h5g9dy,user15,user15,test15@gmail.com,USER,true,
clzjp00ob000gtfhaacn70mlo,user16,user16,test16@gmail.com,USER,true,
clzjp00nx0007tfhaut9qyx3h,user17,user17,test17@gmail.com,USER,true,
clzjp00ob000itfhabzimvy7u,user3,user3,test3@test.com,USER,true,
clzjp00o0000atfhaz4oc69ew,user4,user4,test4@test.com,USER,true,
clzjp00ny0008tfhak85p83sx,user5,user5,test5@test.com,USER,true,
clzjp00o8000etfha0hga2pd2,user6,user6,test6@gmail.com,USER,true,
clzjp00ob000htfhawlwi6ipg,user7,user7,test7@gmail.com,USER,true,
clzjp00o5000ctfha0qsssigg,user8,user8,test8@gmail.com,USER,true,
clzjp00oc000jtfhav9exfal4,user9,user9,test9@gmail.com,USER,true,
clzjp00o5000btfhaz7gkc1t1,Ian,Frye,ianfrye.dev@gmail.com,ADMIN,true,
clzjp00o9000ftfhag67khfnz,user1,user1,test@test.com,ADMIN,true,
clzjp00ms0001tfhan059z3t8,user18,user18,test18@gmail.com,ADMIN,true,
clzjp00mz0002tfhap38bl0zn,user19,user19,test19@gmail.com,ADMIN,true,
clzjp00n40003tfhadqe1w39w,user2,user2,test2@test.com,ADMIN,true,
